기간	구분	경복궁	경복궁	경복궁	경복궁	창덕궁	창덕궁	창덕궁	창덕궁	창경궁	창경궁	창경궁	창경궁	덕수궁	덕수궁	덕수궁	덕수궁	종묘	종묘	종묘	종묘
기간	구분	일평균	소계	내국인	외국인	일평균	소계	내국인	외국인	일평균	소계	내국인	외국인	일평균	소계	내국인	외국인	일평균	소계	내국인	외국인
2013.01	구분	6,062	187,908	105,724	82,184	1,701	52,743	30,490	22,253	609	18,882	17,562	1,320	1,759	54,535	46,980	7,555	470	14,575	6,996	7,579
2013.02	구분	8,330	233,250	140,253	92,997	2,206	61,764	36,905	24,859	798	22,340	20,990	1,350	2,083	58,331	46,825	11,506	581	16,255	7,747	8,508
2013.03	구분	9,668	299,705	179,912	119,793	3,163	98,042	54,054	43,988	1,274	39,489	36,389	3,100	2,897	89,820	77,718	12,102	928	28,773	13,138	15,635
2013.04	구분	13,538	406,125	276,043	130,082	4,744	142,315	101,508	40,807	2,190	65,712	62,810	2,902	3,630	108,914	96,402	12,512	879	26,359	15,444	10,915
2013.05	구분	19,512	604,858	522,279	82,579	11,790	365,488	265,795	99,693	3,927	121,739	119,635	2,104	3,662	113,536	103,001	10,535	2,085	64,638	53,760	10,878
2013.06	구분	10,769	323,084	208,081	115,003	4,023	120,678	83,137	37,541	1,759	52,770	50,889	1,881	2,455	73,660	63,520	10,140	701	21,016	12,628	8,388
2013.07	구분	11,788	365,437	203,073	162,364	2,584	80,118	48,657	31,461	860	26,666	24,995	1,671	2,016	62,485	48,941	13,544	576	17,858	9,167	8,691
2013.08	구분	14,882	461,357	255,664	205,693	3,504	108,611	68,571	40,040	1,165	36,109	33,110	2,999	2,518	78,063	65,233	12,830	925	28,686	17,067	11,619
2013.09	구분	15,485	464,554	319,869	144,685	4,575	137,256	97,864	39,392	1,971	59,141	56,914	2,227	3,714	111,427	97,658	13,769	1,069	32,071	20,382	11,689
2013.10	구분	15,896	492,775	385,056	107,719	6,320	195,931	144,549	51,382	3,495	108,349	103,908	4,441	4,422	137,071	123,934	13,137	1,128	34,977	22,552	12,425
2013.11	구분	10,459	313,781	211,840	101,941	4,922	147,652	107,904	39,748	2,139	64,176	60,978	3,198	5,993	179,792	166,366	13,426	942	28,249	18,896	9,353
2013.12	구분	7,983	247,486	145,544	101,942	2,068	64,103	38,553	25,550	710	22,021	20,035	1,986	3,632	112,583	99,301	13,282	643	19,944	13,896	6,048
2014.01	구분	8,594	266,423	169,707	96,716	2,204	68,316	48,482	19,834	752	23,311	21,712	1,599	3,886	120,463	111,450	9,013	648	20,093	14,419	5,674
2014.02	구분	9,216	258,060	154,435	103,625	2,338	65,471	44,756	20,715	1,365	38,213	36,721	1,492	3,688	103,269	93,247	10,022	625	17,488	12,307	5,181
2014.03	구분	11,315	350,759	223,788	126,971	3,085	95,623	63,221	32,402	1,526	47,317	44,840	2,477	5,129	158,991	144,903	14,088	763	23,644	16,116	7,528
2014.04	구분	17,426	522,782	360,411	162,371	6,370	191,092	145,834	45,258	3,133	93,980	89,737	4,243	3,471	104,138	86,252	17,886	818	24,526	17,958	6,568
2014.05	구분	19,986	619,567	457,248	162,319	6,067	188,086	143,694	44,392	3,388	105,029	100,809	4,220	3,792	117,547	100,802	16,745	2,023	62,723	53,528	9,195
2014.06	구분	14,169	425,073	270,469	154,604	5,119	153,558	76,779	76,779	1,342	40,257	37,959	2,298	2,515	75,448	62,932	12,516	788	23,631	18,263	5,368
2014.07	구분	15,920	493,531	274,596	218,935	3,256	100,946	62,361	38,585	1,120	34,734	31,164	3,570	2,398	74,330	59,167	15,163	628	19,463	14,736	4,727
2014.08	구분	20,521	636,149	405,225	230,924	4,338	134,480	91,108	43,372	1,526	47,316	44,450	2,866	3,154	97,778	78,818	18,960	862	26,719	20,377	6,342
2014.09	구분	18,441	553,239	393,644	159,595	5,270	158,089	119,260	38,829	2,945	88,345	85,604	2,741	3,756	112,668	97,594	15,074	958	28,738	22,008	6,730
2014.10	구분	21,823	676,518	468,796	207,722	7,786	241,381	182,385	58,996	3,895	120,734	116,874	3,860	5,407	167,611	148,878	18,733	1,001	31,039	24,230	6,809
2014.11	구분	15,105	453,156	288,936	164,220	6,105	183,136	136,085	47,051	2,652	79,565	75,897	3,668	4,755	142,650	123,477	19,173	733	21,981	15,959	6,022
2014.12	구분	10,337	320,447	190,501	129,946	2,306	71,489	41,561	29,928	683	21,166	19,473	1,693	1,903	58,995	44,272	14,723	317	9,842	5,951	3,891
2015.01	구분	9,828	304,681	196,594	108,087	2,350	72,843	49,390	23,453	825	25,582	24,256	1,326	2,037	63,148	54,159	8,989	418	12,966	9,854	3,112
2015.02	구분	14,944	418,434	264,154	154,280	3,042	85,184	58,745	26,439	1,910	53,471	51,984	1,487	2,662	74,525	62,541	11,984	688	19,273	15,102	4,171
2015.03	구분	12,455	386,114	272,022	114,092	3,163	98,043	63,273	34,770	3,761	116,596	111,070	5,526	2,276	70,543	55,316	15,227	524	16,242	10,717	5,525
2015.04	구분	20,563	616,886	406,906	209,980	6,191	185,723	140,398	45,325	2,939	88,172	82,310	5,862	4,009	120,283	100,979	19,304	725	21,760	16,470	5,290
2015.05	구분	21,650	671,148	485,936	185,212	7,380	228,772	187,128	41,644	3,651	113,181	107,728	5,453	4,871	151,007	130,874	20,133	1,967	60,983	52,123	8,860
2015.06	구분	6,228	186,846	155,024	31,822	1,982	59,446	39,425	20,021	709	21,259	19,369	1,890	2,105	63,148	55,601	7,547	327	9,796	6,964	2,832
2015.07	구분	7,066	219,047	140,930	78,117	4,323	133,999	109,725	24,274	2,221	68,842	64,166	4,676	3,332	103,306	94,828	8,478	582	18,051	15,124	2,927
2015.08	구분	12,624	391,333	265,302	126,031	4,110	127,397	102,114	25,283	3,019	93,581	90,527	3,054	4,038	125,190	112,969	12,221	696	21,565	17,971	3,594
2015.09	구분	17,770	533,096	387,816	145,280	4,558	136,748	100,310	36,438	1,937	58,115	54,612	3,503	4,265	127,942	109,837	18,105	710	21,314	16,808	4,506
2015.10	구분	19,576	606,848	403,641	203,207	7,738	239,879	189,933	49,946	3,775	117,011	113,075	3,936	5,371	166,512	144,902	21,610	863	26,757	21,238	5,519
2015.11	구분	13,592	407,760	219,760	188,000	5,696	170,883	126,038	44,845	2,144	64,324	61,218	3,106	4,581	137,431	117,633	19,798	989	29,684	24,921	4,763
2015.12	구분	10,301	319,340	148,961	170,379	3,003	93,080	59,738	33,342	934	28,955	27,172	1,783	2,708	83,946	68,749	15,197	592	18,342	14,936	3,406
2016.01	구분	10,898	337,843	144,022	193,821	2,390	74,092	49,472	24,620	766	23,739	22,043	1,696	2,147	66,557	54,352	12,205	495	15,338	12,436	2,902
2016.02	구분	12,664	367,261	161,100	206,161	3,105	90,041	62,740	27,301	1,136	32,949	31,323	1,626	2,385	69,172	53,244	15,928	603	17,485	13,656	3,829
2016.03	구분	12,587	390,197	167,966	222,231	3,893	120,686	77,620	43,066	3,465	107,404	104,094	3,310	2,747	85,152	69,020	16,132	610	18,914	13,348	5,566
2016.04	구분	22,092	662,745	340,944	321,801	7,954	238,626	186,302	52,324	3,477	104,319	97,302	7,017	4,900	147,000	118,061	28,939	985	29,546	23,723	5,823
2016.05	구분	21,998	681,953	378,455	303,498	7,555	234,193	181,421	52,772	5,124	158,847	153,328	5,519	5,998	185,926	161,461	24,465	2,723	84,406	73,644	10,762
2016.06	구분	17,985	539,536	263,435	276,101	4,652	139,560	95,232	44,328	1,621	48,634	45,270	3,364	4,990	149,699	122,701	26,998	717	21,514	15,950	5,564
2016.07	구분	18,503	573,582	220,865	352,717	3,172	98,327	56,511	41,816	1,896	58,775	54,844	3,931	4,312	133,680	106,114	27,566	606	18,784	12,620	6,164
2016.08	구분	16,402	508,450	225,335	283,115	3,241	100,458	59,729	40,729	1,944	60,274	57,004	3,270	4,206	130,380	105,984	24,396	591	18,331	12,237	6,094
2016.09	구분	19,076	572,277	360,920	211,357	6,126	183,779	140,097	43,682	2,787	83,606	78,110	5,496	6,619	198,560	172,717	25,843	1,070	32,105	23,920	8,185
2016.10	구분	24,187	749,783	512,873	236,910	8,042	249,292	182,621	66,671	4,091	126,819	121,351	5,468	5,820	180,420	150,871	29,549	1,062	32,935	24,122	8,813
2016.11	구분	11,435	343,064	194,951	148,113	6,645	199,341	143,481	55,860	2,198	65,927	60,322	5,605	4,209	126,284	101,022	25,262	786	23,565	16,678	6,887
2016.12	구분	9,465	293,427	151,317	142,110	2,956	91,641	52,082	39,559	769	23,844	20,397	3,447	2,364	73,296	52,797	20,499	532	16,480	11,575	4,905
2017.01	구분	10,221	316,862	165,237	151,625	3,063	94,968	56,789	38,179	890	27,584	24,650	2,934	2,864	88,794	69,402	19,392	531	16,448	12,773	3,675
2017.02	구분	10,516.82	294,471	155,014	139,457	2,771	77,581	50,218	27,363	864	24,188	22,077	2,111	3,245	90,852	67,840	23,012	461	12,913	9,809	3,104
2017.03	구분	8,555	265,204	165,143	100,061	3,556	110,247	72,277	37,970	1,335	41,399	37,464	3,935	3,206	99,394	68,205	31,189	690	21,399	15,581	5,818
2017.04	구분	15,882	476,448	351,637	124,811	7,235	217,038	168,988	48,050	4,329	129,866	118,778	11,088	5,240	157,206	120,740	36,466	905	27,152	21,154	5,998
2017.05	구분	14,140	438,351	355,030	83,321	5,828	180,673	146,783	33,890	3,213	99,615	96,047	3,568	5,460	169,248	144,608	24,640	2,489	77,147	70,624	6,523
2017.06	구분	8,547	256,415	175,296	81,119	3,584	107,520	80,358	27,162	1,887	56,599	53,251	3,348	3,602	108,058	87,020	21,038	2,013	60,379	55,822	4,557
2017.07	구분	8,174	253,406	184,033	69,373	2,624	81,340	52,737	28,603	1,729	53,602	49,725	3,877	2,842	88,089	65,982	22,107	903	28,003	23,562	4,441
