기간	구분	경복궁	경복궁	경복궁	경복궁	창덕궁	창덕궁	창덕궁	창덕궁	창경궁	창경궁	창경궁	창경궁	덕수궁	덕수궁	덕수궁	덕수궁	종묘	종묘	종묘	종묘
기간	구분	일평균	소계	내국인	외국인	일평균	소계	내국인	외국인	일평균	소계	내국인	외국인	일평균	소계	내국인	외국인	일평균	소계	내국인	외국인
2017.01	구분	10,221	316,862	165,237	151,625	3,063	94,968	56,789	38,179	890	27,584	24,650	2,934	2,864	88,794	69,402	19,392	531	16,448	12,773	3,675
2017.02	구분	10,516.82	294,471	155,014	139,457	2,771	77,581	50,218	27,363	864	24,188	22,077	2,111	3,245	90,852	67,840	23,012	461	12,913	9,809	3,104
2017.03	구분	8,555	265,204	165,143	100,061	3,556	110,247	72,277	37,970	1,335	41,399	37,464	3,935	3,206	99,394	68,205	31,189	690	21,399	15,581	5,818
2017.04	구분	15,882	476,448	351,637	124,811	7,235	217,038	168,988	48,050	4,329	129,866	118,778	11,088	5,240	157,206	120,740	36,466	905	27,152	21,154	5,998
2017.05	구분	14,140	438,351	355,030	83,321	5,828	180,673	146,783	33,890	3,213	99,615	96,047	3,568	5,460	169,248	144,608	24,640	2,489	77,147	70,624	6,523
2017.06	구분	8,547	256,415	175,296	81,119	3,584	107,520	80,358	27,162	1,887	56,599	53,251	3,348	3,602	108,058	87,020	21,038	2,013	60,379	55,822	4,557
2017.07	구분	8,174	253,406	184,033	69,373	2,624	81,340	52,737	28,603	1,729	53,602	49,725	3,877	2,842	88,089	65,982	22,107	903	28,003	23,562	4,441
2017.08	구분	9,608	297,838	236,717	61,121	3,063	94,958	65,016	29,942	1,468	45,509	40,567	4,942	3,201	99,236	76,731	22,505	631	19,564	14,949	4,615
2017.09	구분	12,543	376,280	308,138	68,142	4,533	135,988	99,431	36,557	1,610	48,314	43,801	4,513	5,240	157,198	133,620	23,578	816	24,485	19,147	5,338
2017.10	구분	32,330	1,002,216	850,481	151,735	13,451	416,985	347,108	69,877	6,701	207,742	192,578	15,164	17,465	541,405	493,927	47,478	2,482	76,933	70,083	6,850
2017.11	구분	9,697	290,911	225,334	65,577	6,700	200,990	155,092	45,898	2,438	73,148	67,841	5,307	5,041	151,237	121,730	29,507	1,054	31,606	27,018	4,588
2017.12	구분	7,632	236,590	164,611	71,979	2,734	84,746	55,675	29,071	916	28,406	25,287	3,119	3,196	99,087	72,244	26,843	618	19,167	16,090	3,077
2018.01	구분	5,319	164,895	124,211	40,684	1,950	60,435	40,648	19,787	655	20,296	18,188	2,108	2,729	84,613	64,456	20,157	487	15,083	12,633	2,450
2018.02	구분	9,947	278,529	197,756	80,773	3,511	98,303	68,181	30,122	1,778	49,783	45,001	4,782	3,579	100,201	71,009	29,192	760	21,280	17,955	3,325
2018.03	구분	9,605	297,742	220,494	77,248	3,715	115,178	70,020	45,158	1,552	48,122	42,008	6,114	4,184	129,714	100,321	29,393	793	24,589	19,286	5,303
2018.04	구분	14,631	438,924	341,280	97,644	6,710	201,295	133,555	67,740	3,120	93,613	81,847	11,766	4,811	144,327	110,981	33,346	926	27,776	21,873	5,903
2018.05	구분	15,370	476,485	407,217	69,268	6,184	191,692	128,136	63,556	3,364	104,286	97,549	6,737	6,155	190,801	161,723	29,078	1,752	54,323	47,178	7,145
2018.06	구분	12,317	369,506	279,530	89,976	3,759	112,765	68,627	44,138	1,859	55,781	49,852	5,929	4,137	124,097	96,296	27,801	774	23,212	17,364	5,848
2018.07	구분	9,068	281,104	200,582	80,522	2,311	71,648	33,991	37,657	886	27,453	22,117	5,336	2,763	85,648	62,863	22,785	466	14,438	9,292	5,146
2018.08	구분	8,815	273,252	198,930	74,322	2,422	75,085	36,869	38,216	879	27,243	21,776	5,467	2,992	92,749	69,297	23,452	1,291	40,030	32,713	7,317
2018.09	구분	21,421	642,642	528,333	114,309	7,438	223,127	164,660	58,467	4,533	135,980	126,902	9,078	7,020	210,607	184,077	26,530	2,553	76,592	71,377	5,215
2018.10	구분	17,482	541,941	434,708	107,233	7,859	243,628	162,503	81,125	3,304	102,411	93,826	8,585	7,038	218,180	179,495	38,685	1,904	59,023	50,839	8,184
2018.11	구분	12,875	386,239	290,439	95,800	6,581	197,441	129,743	67,698	2,604	78,129	70,895	7,234	5,979	179,367	141,650	37,717	2,384	71,512	64,956	6,556
2018.12	구분	9,558	296,312	201,767	94,545	2,390	74,095	38,884	35,211	785	24,349	20,647	3,702	5,033	156,030	129,213	26,817	1,605	49,770	45,469	4,301
2019.01	구분	7,209	223,487	169,113	54,374	2,056	63,728	38,405	25,323	1,154	35,781	32,591	3,190	4,211	130,532	109,930	20,602	1,281	39,726	36,179	3,547
2019.02	구분	13,344	373,630	263,784	109,846	3,825	107,092	78,028	29,064	2,629	73,616	68,948	4,668	5,264	147,380	123,757	23,623	1,535	42,979	40,624	2,355
2019.03	구분	11,688	362,326	233,317	129,009	3,800	117,803	74,191	43,612	1,960	60,751	54,559	6,192	5,613	173,993	143,929	30,064	1,241	38,459	32,188	6,271
2019.04	구분	18,366	550,978	387,075	163,903	6,720	201,595	130,386	71,209	3,788	113,637	100,571	13,066	8,078	242,328	199,321	43,007	1,361	40,820	33,694	7,126
2019.05	구분	18,517	574,014	449,268	124,746	6,293	195,085	143,546	51,539	3,290	101,992	94,260	7,732	8,979	278,340	246,336	32,004	1,967	60,966	53,558	7,408
2019.06	구분	14,663	439,895	321,317	118,578	4,100	123,000	83,135	39,865	1,958	58,749	52,225	6,524	6,572	197,150	170,424	26,726	1,089	32,655	26,297	6,358
2019.07	구분	11,652	361,212	264,643	96,569	2,732	84,688	48,693	35,995	1,184	36,718	30,092	6,626	4,175	129,439	104,458	24,981	670	20,759	15,405	5,354
2019.08	구분	14,354	444,979	260,658	184,321	3,969	123,025	70,899	52,126	2,177	67,483	55,413	12,070	5,944	184,261	149,905	34,356	1,029	31,905	29,250	2,655
2019.09	구분	22,312	669,361	494,024	175,337	7,061	211,817	159,379	52,438	3,301	99,032	88,586	10,446	7,024	210,713	181,790	28,923	596	17,888	12,956	4,932
2019.10	구분	18,801	582,843	464,290	118,553	8,336	258,410	195,038	63,372	3,341	103,580	92,701	10,879	10,377	321,688	280,107	41,581	1,193	36,989	30,737	6,252
2019.11	구분	14,146	424,375	327,614	96,761	7,149	214,458	162,858	51,600	3,130	93,901	85,831	8,070	8,646	259,379	222,529	36,850	1,635	49,052	44,043	5,009
2019.12	구분	10,956	339,646	239,734	99,912	2,721	84,357	53,852	30,505	938	29,084	24,830	4,254	4,464	138,393	112,314	26,079	1,232	38,200	34,711	3,489
